State	X2020.08.31	X2020.08.30	X2020.08.29	X2020.08.28	X2020.08.27	X2020.08.26	X2020.08.25	X2020.08.24	X2020.08.23	X2020.08.22	X2020.08.21	X2020.08.20	X2020.08.19	X2020.08.18	X2020.08.17	X2020.08.16	X2020.08.15	X2020.08.14	X2020.08.13	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	2182	2162	2152	2107	2076	2045	2037	2024	2013	2011	1990	1974	1944	1936	1925	1898	1896	1893	1890	1882	1847	1797	1768	1735	1735	1714	1695	1666	1633	1627	1603	1580	1565	1538	1491	1491	1473	1456	1438	1397	1364	1303	1291	1287	1286	1265	1230	1211	1164	1124	1121	1114	1104	1068	1058	1033	1007	1007	1007	1006	985	972	950	929	919	919	907	896	891	864	841	839	838	822	810	790	785	774	773	773	769	755	744	729	718	692	689	676	653	653	651	646	631	618	605	590	581	575	562	551	546	537	529	517	504	489	488	485	476	467	449	429	401	393	388	375	349	340	313	296	290	288	279	269	245	242	222	216	212	197	197	194	177	167	154	146	144	133	121	110	99	93	91	80	74	66	56	50	45	43	35	32	26	13	6	4	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	37	37	37	37	37	37	36	32	32	31	30	29	29	29	28	28	28	27	27	27	26	26	26	26	25	25	25	25	25	24	24	23	23	22	22	21	20	20	19	19	19	18	18	18	18	17	17	17	17	17	17	17	17	17	17	17	16	16	16	15	14	14	14	14	14	14	14	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	11	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	7	7	7	6	6	6	5	3	3	3	3	3	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	5029	5030	5007	4978	4929	4896	4792	4771	4771	4756	4688	4684	4634	4529	4506	4506	4492	4423	4383	4347	4199	4154	4150	4137	4081	4002	3932	3845	3779	3765	3747	3694	3626	3454	3408	3304	3305	3286	3142	3063	2974	2918	2784	2761	2730	2583	2492	2434	2337	2245	2237	2151	2082	2038	1963	1927	1810	1809	1805	1788	1757	1720	1632	1588	1588	1579	1535	1490	1463	1384	1342	1339	1338	1312	1271	1239	1219	1194	1186	1183	1144	1127	1095	1070	1047	1044	1042	1012	996	981	941	917	906	903	885	857	831	807	806	800	799	775	763	747	704	686	680	679	651	624	594	562	542	536	532	517	450	426	395	362	362	348	330	320	304	293	275	275	266	266	249	229	208	187	184	177	169	150	142	131	122	115	108	97	89	80	73	65	64	52	41	32	29	24	20	17	15	13	8	6	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	797	784	772	756	739	732	711	696	687	674	663	641	631	619	603	599	600	587	582	566	566	555	544	521	521	515	508	490	475	458	460	453	442	434	428	408	401	394	394	386	380	374	357	357	353	353	341	335	331	323	321	313	313	309	301	292	292	286	286	281	279	277	270	265	259	249	240	240	240	237	227	224	224	214	208	197	182	182	179	176	176	171	165	161	155	154	154	152	142	142	133	133	133	133	125	120	120	119	117	116	113	113	110	107	102	100	98	98	98	97	95	95	94	88	88	88	87	85	83	81	76	73	64	61	59	52	50	49	47	45	45	42	43	42	40	38	37	37	33	30	30	27	24	23	21	18	16	16	16	14	12	12	10	8	7	6	5	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	12933	12905	12834	12690	12550	12407	12257	12152	12134	11988	11821	11686	11523	11342	11242	11224	11147	10996	10808	10648	10468	10359	10293	10189	10011	9869	9703	9501	9388	9356	9224	9005	8909	8715	8518	8445	8416	8337	8186	8027	7870	7755	7694	7685	7595	7475	7345	7227	7087	7040	7017	6945	6851	6711	6562	6448	6337	6331	6313	6263	6163	6090	5980	5936	5905	5872	5812	5733	5632	5580	5515	5495	5424	5360	5290	5208	5121	5089	5063	4989	4943	4881	4776	4697	4653	4626	4559	4485	4422	4361	4286	4251	4213	4156	4068	3973	3884	3814	3795	3774	3708	3630	3542	3436	3334	3302	3261	3204	3108	3032	2934	2847	2770	2745	2678	2585	2504	2412	2317	2254	2215	2171	2073	1982	1887	1809	1755	1710	1651	1562	1469	1354	1268	1208	1166	1072	985	890	821	758	687	651	609	541	492	442	374	343	319	276	237	203	171	153	133	123	101	78	65	53	40	27	27	24	20	18	13	11	6	5	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	1843	1843	1843	1835	1835	1826	1824	1815	1815	1815	1815	1800	1788	1778	1768	1768	1768	1763	1756	1751	1746	1736	1736	1736	1729	1717	1710	1710	1691	1691	1691	1691	1688	1679	1668	1661	1661	1661	1645	1643	1643	1615	1615	1615	1615	1615	1601	1594	1589	1586	1586	1586	1581	1544	1542	1542	1521	1521	1521	1521	1520	1520	1508	1482	1482	1482	1475	1457	1455	1438	1429	1429	1429	1417	1402	1373	1373	1348	1348	1348	1339	1328	1312	1292	1274	1274	1274	1255	1254	1228	1185	1181	1181	1181	1168	1135	1114	1088	1088	1088	1088	1062	1001	968	921	878	878	878	1091	1062	1009	987	981	967	960	961	921	903	851	842	832	820	777	766	760	706	680	672	674	552	508	486	449	422	411	391	374	357	329	308	304	274	250	250	193	179	150	140	126	111	97	80	69	51	51	44	31	24	19	11	7	6	5	4	3	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	4465	4465	4465	4465	4465	4463	4463	4460	4460	4460	4460	4458	4457	4456	4456	4453	4453	4453	4450	4450	4444	4444	4441	4441	4441	4437	4437	4437	4437	4432	4432	4432	4431	4425	4423	4418	4413	4413	4413	4410	4406	4406	4406	4396	4396	4396	4389	4380	4372	4371	4348	4348	4348	4348	4343	4338	4338	4335	4335	4335	4326	4324	4322	4320	4316	4311	4307	4298	4287	4277	4263	4260	4251	4238	4226	4219	4210	4204	4201	4186	4159	4146	4120	4097	4084	4071	4055	4038	4007	3989	3972	3964	3944	3912	3868	3826	3803	3769	3742	3693	3675	3637	3582	3529	3472	3449	3408	3339	3285	3219	3125	3041	3008	2967	2932	2874	2797	2718	2633	2495	2436	2339	2339	2257	2168	2089	1998	1924	1862	1764	1639	1544	1423	1331	1086	1036	1036	971	868	671	602	554	494	448	380	277	277	206	189	165	131	112	85	69	36	34	27	27	21	19	12	10	5	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	605	604	604	604	604	604	603	604	600	600	600	595	595	593	593	593	593	593	593	591	591	591	591	590	588	587	587	587	585	585	585	585	581	581	580	579	579	579	578	529	527	525	523	523	523	521	521	521	518	517	517	517	517	517	515	514	512	512	512	512	510	509	509	507	507	507	507	507	505	504	504	504	504	504	502	502	499	498	496	495	494	494	493	492	490	488	485	485	483	475	471	471	468	466	463	459	453	444	436	431	425	420	417	414	408	399	392	383	373	362	351	334	324	312	301	297	285	269	266	255	246	235	222	210	204	192	181	168	155	147	131	117	104	99	90	86	76	70	67	60	53	48	43	36	34	32	28	24	19	17	17	16	13	12	11	10	9	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	11331	11263	11249	11099	11011	10872	10717	10534	10462	10411	10304	10186	10067	9893	9674	9587	9480	9276	9047	8898	8685	8408	8315	8238	8051	7871	7751	7526	7279	7206	7144	6966	6709	6457	6240	6049	5972	5894	5768	5632	5459	5319	5183	5091	5002	4912	4782	4626	4514	4381	4346	4301	4203	4111	3991	3943	3880	3832	3803	3785	3718	3650	3604	3546	3518	3489	3464	3423	3377	3333	3266	3254	3237	3197	3154	3110	3085	3030	3022	3016	2967	2938	2889	2851	2798	2786	2773	2745	2691	2650	2613	2543	2534	2530	2495	2446	2400	2338	2331	2316	2312	2268	2222	2173	2129	2073	2049	2040	1991	1948	1898	1849	1805	1791	1785	1738	1667	1605	1536	1423	1403	1388	1314	1290	1240	1154	1101	1094	1075	1031	979	910	856	806	781	754	699	646	609	537	483	465	438	390	354	309	296	236	218	191	163	128	87	77	63	56	54	34	28	22	18	14	13	12	10	8	7	6	4	4	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	5632	5604	5576	5471	5393	5311	5262	5156	5132	5092	4998	4904	4849	4794	4727	4702	4669	4573	4538	4456	4351	4229	4199	4186	4117	4026	3984	3921	3842	3840	3825	3752	3671	3642	3563	3509	3498	3495	3442	3360	3335	3254	3176	3173	3168	3132	3104	3091	3054	3026	3001	2996	2965	2930	2922	2899	2878	2860	2857	2856	2849	2827	2805	2784	2778	2776	2770	2745	2698	2688	2648	2643	2642	2636	2605	2575	2529	2494	2451	2446	2418	2375	2329	2285	2208	2180	2174	2174	2147	2123	2102	2074	2042	2003	1974	1962	1907	1871	1830	1824	1811	1785	1754	1687	1664	1642	1606	1592	1557	1527	1505	1461	1441	1405	1400	1377	1336	1311	1288	1222	1177	1174	1154	1120	1093	1026	971	912	904	892	872	836	799	733	687	673	650	587	552	501	464	433	428	416	379	362	329	229	211	201	184	163	139	111	87	80	69	64	48	40	32	25	23	14	13	10	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hawaii	63	62	59	55	51	49	49	47	47	46	45	45	42	40	40	40	40	40	40	38	34	31	31	31	29	27	27	26	26	26	26	26	26	26	26	26	26	26	26	25	24	24	24	24	23	22	22	22	22	19	19	19	19	19	19	19	19	19	19	18	18	18	18	18	18	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	16	16	16	16	16	16	14	14	13	12	12	12	10	10	9	9	9	9	9	9	9	8	8	6	5	5	5	4	4	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Idaho	359	358	353	343	337	326	314	307	306	304	298	291	282	273	269	269	265	251	246	246	239	237	235	229	223	217	210	200	197	197	189	177	173	160	152	146	146	144	138	135	126	122	119	119	118	114	110	103	102	102	102	101	100	98	94	94	93	93	93	92	92	92	91	91	91	90	90	90	89	89	89	89	89	89	88	88	88	87	87	87	86	85	85	83	83	83	83	83	83	83	83	82	82	82	82	82	81	79	79	79	79	77	77	77	74	73	73	73	72	69	69	70	67	67	67	67	66	65	64	64	63	63	63	60	60	58	56	56	54	54	54	51	48	45	44	43	41	41	39	33	27	27	25	24	18	15	13	10	10	10	9	9	9	7	6	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Illinois	8235	8228	8217	8206	8186	8163	8126	8097	8089	8083	8066	8044	8017	7993	7967	7955	7937	7932	7905	7881	7866	7846	7845	7840	7822	7791	7770	7742	7723	7714	7700	7692	7670	7654	7638	7608	7590	7589	7577	7560	7540	7517	7494	7488	7483	7465	7452	7427	7419	7394	7388	7369	7345	7329	7309	7273	7236	7230	7224	7215	7188	7152	7124	7103	7089	7074	7048	7014	6974	6911	6875	6851	6829	6718	6718	6666	6579	6507	6489	6470	6441	6363	6273	6196	6102	5904	5864	5795	5736	5621	5525	5412	5390	5330	5270	5186	5083	4923	4884	4856	4790	4715	4607	4525	4379	4234	4177	4129	4058	3928	3792	3601	3459	3406	3349	3241	3111	2974	2838	2662	2618	2559	2457	2355	2215	2125	1983	1933	1874	1795	1688	1565	1468	1349	1290	1259	1134	1072	948	868	794	720	677	596	528	462	380	307	274	243	210	157	141	99	73	65	47	34	26	19	16	12	9	6	5	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indiana	3296	3291	3285	3277	3266	3259	3241	3225	3220	3218	3208	3191	3180	3165	3135	3133	3128	3113	3105	3086	3069	3044	3041	3036	3023	3013	3007	2996	2980	2975	2971	2965	2946	2932	2924	2906	2903	2895	2884	2880	2863	2846	2825	2822	2820	2803	2795	2785	2775	2762	2760	2756	2748	2739	2732	2717	2698	2693	2687	2681	2662	2650	2640	2624	2619	2616	2595	2586	2578	2569	2553	2540	2536	2516	2491	2475	2447	2433	2422	2413	2396	2380	2355	2339	2316	2303	2292	2258	2231	2207	2197	2142	2134	2125	2110	2068	2030	2004	1976	1976	1943	1941	1913	1864	1824	1765	1751	1741	1691	1646	1619	1578	1540	1508	1490	1447	1414	1377	1326	1264	1246	1229	1175	1114	1065	901	844	813	785	741	706	661	630	569	562	545	519	477	436	388	350	343	330	300	245	203	173	139	127	116	102	78	65	49	35	32	31	24	17	14	12	7	6	4	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iowa	1116	1113	1108	1095	1083	1067	1052	1044	1036	1031	1021	1014	1006	989	981	975	973	966	959	951	940	933	930	925	913	908	899	888	882	876	872	867	857	846	839	833	827	826	823	818	808	802	797	794	787	784	778	762	757	754	750	748	743	739	735	725	723	721	721	720	718	717	715	708	705	704	704	695	692	688	686	685	681	681	679	673	669	655	652	650	643	639	630	624	612	604	598	592	580	574	561	551	534	531	522	504	491	478	459	454	444	425	406	388	372	355	351	346	336	318	306	289	271	265	252	243	231	219	207	188	184	175	170	162	148	136	127	118	112	107	96	90	83	79	75	74	64	60	53	49	43	41	34	31	29	27	26	25	22	14	11	11	9	7	6	4	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kansas	446	443	443	443	437	437	426	426	419	419	419	411	411	405	405	402	402	402	395	395	387	387	380	380	380	368	368	365	365	358	358	358	349	349	335	335	326	326	326	308	308	307	307	299	299	299	299	299	288	288	284	284	284	282	282	280	280	277	277	277	272	272	270	270	264	264	264	261	261	259	259	254	254	254	247	247	245	245	243	243	243	240	240	236	236	232	232	232	222	222	217	217	208	208	208	205	205	188	188	185	185	185	178	178	173	173	172	172	172	164	164	158	158	157	157	152	147	144	137	136	134	131	130	129	125	124	120	118	117	111	112	110	107	100	92	86	84	80	76	69	62	56	55	50	42	38	27	25	22	21	17	13	10	9	8	6	5	4	3	3	2	2	2	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kentucky	933	930	921	918	910	902	895	885	881	864	864	856	842	830	818	813	810	804	796	790	783	775	773	772	764	760	752	751	744	742	740	735	731	724	719	709	700	696	691	684	677	674	671	670	667	658	650	645	635	629	625	622	620	612	608	602	593	585	585	585	581	572	565	560	558	553	553	546	538	537	526	526	524	522	520	518	512	505	499	499	493	493	484	477	472	470	470	466	458	450	442	439	431	418	409	400	400	391	391	391	391	386	376	366	366	334	334	332	328	326	321	311	304	304	298	294	283	275	261	253	248	248	240	235	225	213	208	205	200	191	185	171	154	148	144	137	129	122	115	104	97	94	90	90	73	65	59	45	40	37	31	20	17	11	9	9	8	6	4	4	4	3	3	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana	4950	4931	4904	4904	4874	4851	4797	4764	4746	4687	4687	4637	4609	4554	4526	4507	4430	4430	4402	4361	4313	4287	4263	4207	4207	4146	4096	4051	4024	4007	3949	3949	3925	3883	3812	3786	3763	3715	3715	3686	3670	3608	3572	3543	3509	3509	3485	3461	3445	3423	3416	3403	3380	3355	3339	3319	3296	3288	3278	3278	3255	3238	3221	3199	3199	3190	3190	3164	3152	3134	3117	3105	3104	3084	3062	3062	3042	3018	3014	3004	2996	2987	2968	2957	2944	2936	2925	2912	2883	2870	2835	2801	2791	2785	2766	2740	2722	2701	2690	2690	2668	2668	2629	2608	2581	2563	2491	2479	2448	2417	2381	2347	2308	2286	2267	2227	2208	2115	2115	2064	1969	1950	1927	1862	1802	1758	1697	1670	1644	1601	1540	1473	1405	1328	1296	1267	1213	1156	1103	1013	884	840	806	755	702	652	582	512	477	409	370	310	273	239	185	151	137	119	83	65	46	34	20	16	12	8	6	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maine	132	132	132	132	132	132	131	131	131	130	129	128	127	127	127	127	127	126	126	126	126	125	125	125	124	124	124	123	124	123	123	123	122	121	121	119	119	119	118	118	118	118	117	117	117	115	114	114	114	114	114	112	111	111	110	110	109	109	107	105	105	105	105	105	104	104	103	103	103	102	102	102	102	102	102	102	101	101	100	100	100	100	100	100	99	99	98	98	95	95	94	89	89	89	85	84	81	79	78	78	77	75	73	73	73	71	70	70	69	69	66	65	65	64	64	63	62	62	61	57	57	56	55	53	52	51	51	50	50	47	44	39	36	35	34	32	29	27	24	20	19	19	19	17	16	14	12	10	10	10	9	7	7	5	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maryland	3755	3752	3746	3736	3722	3717	3707	3694	3691	3685	3674	3669	3661	3650	3641	3639	3636	3631	3620	3612	3604	3591	3585	3577	3565	3551	3536	3530	3523	3515	3506	3493	3488	3478	3458	3447	3440	3433	3422	3409	3405	3402	3382	3377	3368	3359	3347	3341	3334	3325	3319	3310	3303	3288	3275	3266	3246	3243	3236	3223	3212	3205	3190	3175	3168	3157	3142	3129	3108	3092	3074	3066	3052	3030	3016	2996	2982	2947	2939	2926	2900	2875	2844	2811	2776	2749	2740	2702	2668	2666	2646	2625	2596	2562	2538	2501	2458	2417	2379	2341	2306	2274	2221	2198	2164	2122	2090	2040	1991	1935	1881	1834	1788	1739	1692	1643	1580	1520	1476	1424	1372	1323	1276	1226	1168	1099	1045	1001	948	899	831	779	732	683	626	582	541	499	469	421	384	335	298	255	221	191	160	138	122	101	84	64	52	43	35	24	17	10	7	5	5	4	4	3	3	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
