State	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Hawaii	1665	1586	1548	1511	1467	1440	1402	1354	1315	1294	1269	1243	1226	1215	1205	1191	1179	1167	1148	1125	1113	1084	1057	1043	1019	994	975	951	921	911	890	872	847	840	811	797	781	777	756	754	746	741	736	722	719	714	705	696	686	673	669	651	644	642	640	639	637	630	629	628	627	623	622	621	618	617	616	614	611	612	609	608	608	606	605	604	600	593	592	591	589	585	579	578	578	574	573	572	565	564	563	563	561	561	551	566	565	558	551	548	544	541	532	526	516	505	493	488	482	463	455	444	437	423	414	410	390	374	359	333	315	310	300	284	251	113	113	89	85	82	78	72	69	58	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Idaho	9548	9341	9157	8921	8738	8486	8207	7875	7617	7370	7146	6998	6744	6472	6203	5964	5731	5483	5251	5008	4746	4504	4335	4149	3989	3827	3676	3513	3360	3262	3179	3114	3066	3022	2978	2932	2907	2886	2858	2831	2801	4393	4233	4073	3898	3898	3827	3712	3610	3484	3405	3305	3305	3183	3088	3013	2921	2877	2837	2837	2776	2684	2628	2554	2509	2461	2461	2408	2362	2311	2282	2266	2248	2248	2225	2195	2185	2100	1755	1755	1755	1735	1720	1688	1668	1649	1612	1612	1588	1573	1557	1536	1508	1473	1473	1442	1420	1399	1379	1358	1267	1267	1215	1175	1121	1087	1039	983	938	867	822	767	710	660	585	520	453	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Illinois	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indiana	57209	56349	54068	54068	54068	54068	53301	51709	43535	47355	47355	46955	46466	45751	45058	44548	44124	43809	43535	43066	42603	41322	41322	41322	40965	40722	40421	40004	39571	39155	38914	38623	38441	38120	37795	37462	36999	36788	36475	36076	35756	35405	35025	34646	34348	33935	33725	33396	33036	32152	32152	31739	31302	31110	30760	30175	29671	29093	28744	28522	28241	27811	27321	26791	26205	25608	25138	24729	24317	23707	23182	22623	22224	21704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iowa	38657	38033	37317	37096	36882	36322	35548	34733	34023	33219	32952	32819	32578	31835	31246	30623	29873	29625	29477	29216	28924	28607	28388	28024	27894	27820	27609	27404	27177	26952	26664	26234	26104	25891	26340	25974	25594	25121	24739	24604	24338	23993	23607	23212	17851	17620	17467	17313	17017	16858	16579	16240	16068	15963	15816	15604	15289	15025	14625	14383	14326	14227	13956	13628	13411	13028	12805	12715	12585	12333	12064	11742	11440	11147	11019	10753	10359	10016	9791	9377	9318	9254	9079	8672	8362	8130	7324	7154	6927	6561	6231	5954	5618	5249	5154	5011	4685	4266	3803	3572	3486	3325	3156	2899	2697	2428	2164	2021	1900	1723	1604	1492	1428	1293	1235	1171	1095	1007	987	908	741	741	674	585	506	476	431	341	284	188	188	188	46	118	33	23	17	15	18	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kansas	1367	1319	1319	1293	1293	1293	1254	1254	1196	1196	1178	1178	1178	1149	1149	1108	1108	1077	1077	1077	1050	1050	1016	1016	983	983	983	948	948	920	920	905	905	905	879	879	859	859	842	842	842	834	834	794	794	779	779	779	747	747	722	722	715	715	715	696	696	676	676	667	667	667	657	657	625	625	612	612	612	592	592	555	547	547	547	547	534	534	493	493	485	485	485	473	473	465	465	443	443	443	422	422	376	376	371	350	332	323	318	296	291	286	286	280	272	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kentucky	8893	8819	8738	8674	8674	8589	8523	8467	8406	8335	8135	8135	7481	7590	7495	7470	7466	7421	7421	7396	7046	7000	6927	6876	6874	6824	6772	5500	5475	5389	5344	5322	5322	5258	4939	4912	4841	4785	4747	4747	4747	4726	4052	3990	3939	3730	3730	3730	3719	3706	3591	3534	3530	3530	3516	3506	3444	3431	3416	3409	3409	3379	3379	3375	3365	3359	3344	3344	3316	3303	3283	3275	3232	3232	3231	3181	3124	3124	3102	3102	3102	3069	3008	2919	2826	2826	2768	2768	2739	2712	2649	2546	2335	2308	2308	2266	2177	2125	2058	1892	1892	1752	1752	1675	1668	1617	1521	1511	1501	1341	1335	1311	1266	1174	1174	1174	979	956	862	653	629	607	464	464	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana	103512	89083	89083	89083	89083	89083	89083	89083	74246	74246	74246	74246	74246	74246	74246	61456	61456	61456	61456	61456	61456	61456	53288	53288	53288	53288	53288	53288	53288	46334	46334	46334	46334	46334	46334	46334	43026	43026	43026	43026	43026	43026	43026	42225	42225	39792	39792	39792	39792	39792	39792	39792	37017	37017	37017	37017	37017	37017	37017	33904	33904	33904	33904	33904	33904	33904	31728	31728	31728	31728	31728	31728	31728	28700	28700	28700	28700	28700	28700	28700	26249	26249	26249	26249	26249	26249	26249	22608	22608	22608	22608	22608	22608	22608	20316	20316	20316	20316	20316	20316	20316	17303	17303	17303	17303	17303	17303	17303	14927	14927	14927	14927	14927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maine	3579	3560	3537	3512	3504	3479	3475	3456	3424	3396	3387	3377	3361	3345	3336	3319	3292	3284	3281	3259	3239	3216	3191	3159	3148	3136	3114	3094	3079	3062	3008	2994	2972	2931	2901	2856	2816	2787	2772	2751	2731	2698	2671	2646	2623	2577	2566	2542	2512	2490	2443	2409	2391	2380	2323	2300	2275	2233	2189	2173	2152	2105	2062	2023	1992	1891	1864	1845	1797	1739	1699	1646	1586	1552	1505	1458	1402	1357	1318	1290	1263	1232	1192	1145	1100	1088	1053	1028	1012	993	958	943	913	872	861	857	836	787	766	741	720	706	689	657	631	615	585	549	532	519	499	485	455	443	414	393	382	352	333	305	292	273	266	256	246	202	187	176	158	156	140	113	94	80	68	41	41	36	24	16	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maryland	5956	5935	5910	5910	5899	5838	5790	5749	5740	5740	5713	5713	5689	5592	5592	5592	5434	5434	5434	5434	5434	5434	5380	5344	5344	5344	5286	5286	5238	5238	5230	5230	5190	5157	5132	5085	5036	5029	5029	5025	5023	5013	5001	4982	4979	4976	4935	4903	4874	4810	4797	4776	4773	4745	4685	4640	4596	4579	4567	4541	4536	4474	4365	4310	4279	4240	4240	4175	4159	3985	3970	3855	3782	3764	3649	3571	3468	3401	3334	3329	3319	3283	3243	3099	2993	2868	2817	2816	2806	2685	2569	2456	2394	2298	2293	2159	2041	2029	1903	1810	1695	1666	1590	1517	1432	1361	1295	1263	1177	1165	1108	1040	981	930	917	914	771	736	736	607	607	603	456	431	397	376	365	288	184	159	159	159	81	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massachusetts	100486	99021	99021	99021	99021	99021	99021	99021	97595	97595	97595	97595	97595	97595	97595	96452	96452	96452	96452	96452	96452	96452	95390	95390	95390	95390	95390	95390	95390	94347	94347	94347	94347	94347	94347	94347	93157	93157	93157	93157	93157	93157	93157	93157	93157	93157	93157	93157	93157	91404	91404	91404	91404	91404	91404	91404	88725	88725	88725	88725	88725	88725	88725	84621	84621	84621	84621	84621	84621	84621	78108	78108	78108	78108	78108	78108	78108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Michigan	63636	63636	63636	63636	63636	60022	60022	60022	60022	60022	60022	60022	57502	57502	57502	57502	57502	57502	55162	55162	55162	55162	55162	55162	55162	55162	53867	53867	53867	53867	53867	53867	53867	52841	52841	52841	52841	52841	52841	52841	51099	51099	51099	51099	51099	51099	51099	49290	49290	49290	49290	49290	49290	49290	44964	44964	44964	44964	44964	44964	44964	42041	42041	42041	42041	42041	42041	42041	38099	38099	38099	38099	38099	38099	38099	33168	33168	33168	33168	33168	33168	33168	28234	28234	28234	28234	28234	28234	28234	22686	22686	22686	22686	22686	22686	22686	15659	15659	15659	15659	15659	15659	15659	8342	8342	8342	8342	8342	8342	8342	3237	3237	3237	3237	3237	3237	3237	629	617	452	452	447	433	595	56	56	56	56	56	56	56	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minnesota	55855	55151	54364	53568	52768	51940	51604	51223	50426	49565	48847	48119	47289	46965	46636	45987	45198	44431	43625	42882	42524	42234	41511	40742	40001	39310	38568	38290	38179	37749	37199	36582	36012	35442	35193	34902	34377	33907	33408	32347	32347	32163	31947	31601	31225	30809	30401	30008	29854	29707	29399	29065	28663	28205	27709	27566	27404	27006	26609	26090	25620	25028	24870	24675	24221	23657	22992	22253	21864	21490	21169	20381	19441	18695	17864	16930	16655	16314	15523	14816	14115	13485	12696	12488	12227	11540	10764	10175	9571	8820	8473	8149	7609	6945	6304	5764	5163	4800	4520	4159	3784	2596	2002	1911	1829	1724	1611	1556	1502	1410	1373	1336	1138	1094	1059	1026	997	955	926	853	830	772	772	729	675	625	593	515	440	422	416	0	0	0	0	0	243	215	176	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mississippi	49836	49836	42391	42391	42391	42391	42391	42391	42391	42391	35071	35071	35071	35071	35071	35071	35071	30315	30315	30315	30315	30315	30315	30315	25932	25932	25932	25932	25932	25932	25932	22167	22167	22167	22167	22167	22167	22167	19388	19388	19388	19388	19388	19388	19388	17242	17242	17242	17242	17242	17242	17242	15323	15323	15323	15323	15323	15323	15323	13356	13356	13356	13356	13356	13356	13356	11203	11203	11203	11203	11203	11203	11203	9401	9401	9401	9401	9401	9401	9401	7681	7681	7681	7681	7681	7681	7681	6268	6268	6268	6268	6268	6268	6268	4421	4421	4421	4421	4421	4421	4421	3413	3413	3413	3413	3413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Missouri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Montana	3598	3542	3413	3275	3255	3122	2964	2820	2766	2653	2466	2456	2331	2240	2212	2104	2090	2079	1977	1815	1587	1543	1493	1334	1075	1075	992	970	915	884	875	865	864	855	796	759	716	678	678	678	678	672	658	642	609	604	604	589	572	571	566	548	548	548	546	545	538	535	510	510	510	489	487	487	485	475	475	472	470	467	464	462	461	456	448	448	445	444	441	441	441	441	441	440	440	437	434	431	431	431	431	430	425	423	422	422	420	417	417	410	404	404	404	397	392	382	356	352	339	339	325	306	296	273	243	243	234	233	218	209	197	171	169	169	165	157	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nebraska	21312	21113	20896	20746	20333	20176	19885	19764	19677	19575	19325	19172	18997	18802	18702	18520	18097	18097	17999	17745	17499	17389	17237	17112	16801	16665	16501	16324	16205	16025	15860	15724	15499	15206	15031	14927	14759	14641	14340	14200	14022	13807	13737	13547	13322	13053	12698	12314	12099	12099	11980	11776	11565	11312	11066	10761	10529	10351	10121	9879	9610	9229	8946	8820	8637	8455	8255	7957	7598	7005	6743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nevada	1385	1361	1326	1297	1297	1297	1251	1234	1209	1158	1127	1127	1127	1085	1061	1054	1019	994	994	994	975	917	874	867	842	842	842	834	826	800	789	764	764	764	759	754	743	742	727	727	727	727	714	689	689	684	684	684	682	666	658	653	652	652	652	641	640	640	636	627	627	604	560	557	557	522	522	522	522	512	501	464	459	428	428	428	406	401	374	359	359	359	339	339	336	334	355	272	272	272	244	198	185	183	182	205	205	205	203	200	185	182	182	182	158	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NewHampshire	6162	6126	6095	6063	6049	5941	5923	5915	5848	5820	5794	5794	5722	5710	5688	5688	5438	5438	5438	5345	5341	5316	5286	5251	5251	5188	5188	5125	5101	5056	5027	5013	4897	4831	4817	4758	4706	4684	4597	4597	4508	4491	4463	4435	4435	4401	4381	4381	4358	4316	4290	4275	4244	4209	4140	4104	4067	4041	4041	3905	3843	3665	3585	3501	3392	3392	3319	3319	3187	3157	3071	2954	2948	2940	2802	2730	2691	2550	2434	2204	2197	2197	1767	1388	1275	1269	1268	1258	1254	1247	1236	1234	1231	1229	1228	1210	1165	1110	1105	1019	1017	1107	980	980	980	936	798	779	777	578	551	550	546	521	521	513	468	455	365	365	249	239	236	234	234	227	211	151	147	146	144	101	91	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NewJersey	33223	33223	33013	32977	32956	32956	32811	32749	32697	32660	32475	32475	32475	32423	32365	32313	32275	32133	32061	32001	31925	31850	31781	31448	31405	31400	31400	31400	31400	31318	31261	31190	31092	31014	30938	30844	30774	30729	30660	30565	30464	30383	30300	30213	30163	30092	29967	29855	29740	29627	29517	29522	29450	29318	29209	29101	28966	28872	28819	28714	28606	28509	28376	28207	28036	27941	27824	27641	27433	27231	27008	26815	26703	26560	26301	26084	25804	25552	25384	25253	25040	24762	24491	24236	23945	23657	23496	23299	22939	15642	15642	15642	15642	15642	15642	15642	15642	15642	15642	15642	15642	15642	15642	15642	15642	15642	15642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NewMexico	9612	9428	9319	9262	9166	8950	8828	8685	8463	8343	8286	8139	8015	7817	7657	7459	7349	7268	7156	7056	6974	6870	6814	6764	6736	6654	6578	6496	6429	6363	6322	6271	6181	6118	6051	5986	5902	5860	5845	5802	5627	5514	5393	5296	5264	5251	5149	5047	4984	4874	4742	4684	4684	4512	4439	4351	4217	4160	4114	4072	3983	3983	3806	3699	3380	3307	3286	3206	3115	3013	2960	2888	2853	2835	2728	2684	2638	2564	2522	2464	2357	2149	2041	1985	1882	1796	1755	1739	1671	1576	1515	1434	1300	1285	1268	1189	1125	1073	964	842	832	812	785	760	734	705	666	650	614	614	573	547	529	501	487	465	382	353	353	340	304	295	235	235	217	201	171	133	130	54	26	26	26	26	26	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NewYork	73842	73779	73736	73689	73609	73530	73472	73410	73326	73279	73222	73134	73055	72973	72900	72813	72766	72716	72632	72552	72466	72386	72302	72229	72161	72064	71970	71867	71782	71692	71643	71565	71477	71371	71279	71185	71091	71040	70968	70877	70794	70698	70590	70487	70435	70010	70010	70010	70010	69710	69710	69710	69506	69506	69377	69243	69085	68938	68851	68761	68584	68399	68211	68019	67808	67687	67544	67261	66992	66756	66502	66262	66110	65934	65609	65289	64954	64632	64443	64280	64080	63292	63292	62826	61886	61886	61681	61381	60796	60302	59758	59193	58679	58363	58006	57180	56378	55547	54597	58950	58950	58950	57540	56187	54771	53238	51673	50751	49687	47935	46156	44244	42308	40482	39085	37596	35458	33392	30800	28004	25589	23887	23887	22025	20249	18297	16353	14590	13366	12187	10478	8886	7434	6142	4975	4204	3572	2726	2045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NorthCarolina	116969	116969	105093	105093	105093	105093	105093	105093	105093	105093	92302	92302	92302	92302	92302	92302	92302	78707	78707	78707	78707	78707	78707	78707	67124	67124	67124	67124	67124	67124	67124	55318	55318	55318	55318	55318	55318	55318	45538	45538	45538	45538	45538	45538	45538	36921	36921	36921	36921	36921	36921	36921	29219	29219	29219	29219	29219	29219	29219	23653	23653	23653	23653	23653	23653	23653	18860	18860	18860	18860	18860	18860	18860	14954	14954	14954	14954	14954	14954	14954	11637	11637	11637	11637	11637	11637	11637	9115	9115	9115	9115	9115	9115	9115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NorthDakota	6815	6668	6434	6355	6268	6164	5949	5837	5715	5590	5396	5396	5289	5181	5087	4957	4829	4752	4671	4545	4475	4407	4319	4219	4131	4029	3903	3796	3760	3685	3653	3570	3533	3496	3464	3447	3413	3350	3324	3288	3266	3235	3210	3195	3163	3139	3119	3090	3064	3044	3008	2952	2910	2882	2840	2809	2756	2720	2683	2658	2630	2573	2515	2482	2450	2336	2307	2268	2242	2209	2169	2127	2078	1959	1943	1882	1793	1762	1701	1551	1496	1451	1405	1340	1302	1269	1219	1178	1111	1071	1007	969	877	846	792	762	714	601	582	559	540	517	510	482	458	437	409	350	326	310	285	269	229	214	189	189	183	172	163	142	138	127	121	119	105	101	98	82	74	63	63	55	43	34	30	19	18	16	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ohio	82310	80885	79321	78435	77429	75975	74612	72950	71338	69501	68394	67319	65788	64311	62695	61056	59413	58465	57731	56823	55702	54426	53077	51860	51086	50280	49302	48330	47303	46282	45194	44663	44101	43435	42111	42111	41438	40813	40460	39903	39423	38987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
